参赛人数_2016,参赛人数_2020,参赛人数_2024,NOC,最近连续参加届数
4.0,2.0,2.0,AND,3
26.0,20.0,25.0,ANG,3
8.0,6.0,5.0,ANT,3
7.0,3.0,6.0,ARU,3
4.0,6.0,2.0,ASA,3
6.0,6.0,5.0,BAN,3
6.0,7.0,5.0,BEN,3
2.0,4.0,3.0,BHU,3
11.0,7.0,5.0,BIH,3
3.0,3.0,1.0,BIZ,3
12.0,5.0,4.0,BOL,3
3.0,2.0,3.0,BRU,3
6.0,2.0,4.0,CAF,3
6.0,3.0,3.0,CAM,3
5.0,5.0,4.0,CAY,3
10.0,3.0,4.0,CGO,3
2.0,3.0,3.0,CHA,3
4.0,7.0,6.0,COD,3
9.0,6.0,2.0,COK,3
4.0,3.0,4.0,COM,3
8.0,5.0,8.0,ESA,3
5.0,3.0,3.0,FSM,3
4.0,4.0,7.0,GAM,3
5.0,4.0,6.0,GBS,3
1.0,3.0,3.0,GEQ,3
5.0,5.0,25.0,GUI,3
5.0,5.0,7.0,GUM,3
23.0,27.0,4.0,HON,3
4.0,3.0,4.0,IVB,3
3.0,3.0,3.0,KIR,3
5.0,4.0,4.0,LAO,3
7.0,4.0,6.0,LBA,3
,6.0,9.0,LBN,2
2.0,3.0,8.0,LBR,3
8.0,2.0,3.0,LES,3
3.0,5.0,1.0,LIE,3
6.0,6.0,7.0,MAD,3
5.0,5.0,3.0,MAW,3
4.0,4.0,5.0,MDV,3
5.0,2.0,4.0,MHL,3
6.0,4.0,24.0,MLI,3
7.0,6.0,5.0,MLT,3
2.0,2.0,2.0,MTN,3
7.0,2.0,2.0,MYA,3
5.0,8.0,7.0,NCA,3
7.0,5.0,7.0,NEP,3
2.0,2.0,1.0,NRU,3
4.0,4.0,4.0,OMA,3
6.0,5.0,8.0,PLE,3
5.0,3.0,3.0,PLW,3
8.0,8.0,7.0,PNG,3
10.0,,,ROT,0
7.0,5.0,7.0,RWA,3
8.0,8.0,24.0,SAM,3
10.0,5.0,3.0,SEY,3
6.0,2.0,3.0,SKN,3
4.0,4.0,4.0,SLE,3
3.0,3.0,2.0,SOL,3
2.0,2.0,1.0,SOM,3
3.0,2.0,14.0,SSD,3
3.0,3.0,3.0,STP,3
2.0,4.0,3.0,SWZ,3
3.0,3.0,4.0,TLS,3
1.0,2.0,2.0,TUV,3
4.0,3.0,6.0,VAN,3
4.0,3.0,4.0,VIN,3
3.0,5.0,4.0,YEM,3
